Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
14;1001554;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.23;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001574;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.45;мужской;1;0;высшее;менеджер среднего звена;>250;0;144;39;Торговля;ООО;женат / замужем;1;0;0;0;0;0;0;0;0;0;0.1666666667;1;5;54;6;1;0;23;63;0;0;0;0;0;0;0
14;1001594;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;31;35;Торговля;ООО;холост / не замужем;1;1;1;1;1;0.1153846154;0;1;0;0;0.75;3;1;23;4;2;0;5;105;1;1;0;0;0;0;0
14;1001614;2НДФЛ;Ремонт;0;0.47;женский;1;0;среднее-специальное;специалист;>250;1;65;46;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001634;2НДФЛ;Ремонт;1;0.44;мужской;1;0;второе высшее;менеджер среднего звена;>250;1;162;35;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001654;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.42;мужской;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001674;Форма банка (без печати работодателя);Покупка автомобиля;1;0.57;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;9;25;Другое;ООО;холост / не замужем;3;3;2;2;2;0.0211267606;1;1;0;0;0.5454545455;6;5;139;11;4;0;3;38;1;0;0;0;0;0;0
14;1001694;Форма банка (без печати работодателя);Ремонт;0;0.34;женский;1;0;высшее;специалист;>250;0;132;35;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001714;2НДФЛ;Другое;1;0.37;женский;1;0;среднее-специальное;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1001734;2НДФЛ;Ремонт;1;0.59;мужской;1;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
